state,quarter,total_vehicles,date,vehicle_category,fiscal_year,ev_penetration_rate,total_ev_sold
Uttarakhand,Q2,4216,2023-07-01,4-Wheelers,2024,1.26,53
Bihar,Q2,5210,2023-09-01,4-Wheelers,2024,1.15,60
Uttar Pradesh,Q2,29214,2023-07-01,4-Wheelers,2024,1.44,420
Assam,Q2,7381,2023-07-01,4-Wheelers,2024,0.31,23
Gujarat,Q2,27755,2023-07-01,4-Wheelers,2024,2.49,692
Jammu and Kashmir,Q2,4843,2023-08-01,4-Wheelers,2024,0.31,15
Karnataka,Q2,23154,2023-07-01,4-Wheelers,2024,5.27,1221
Nagaland,Q2,739,2023-07-01,4-Wheelers,2024,0.14,1
Himachal Pradesh,Q2,3975,2023-08-01,4-Wheelers,2024,0.28,11
Kerala,Q2,18189,2023-08-01,4-Wheelers,2024,4.05,736
Jharkhand,Q2,4600,2023-09-01,4-Wheelers,2024,0.48,22
Andaman & Nicobar Island,Q2,148,2023-09-01,4-Wheelers,2024,0.68,1
West Bengal,Q2,9011,2023-09-01,4-Wheelers,2024,2.42,218
Goa,Q2,1739,2023-07-01,4-Wheelers,2024,4.83,84
West Bengal,Q2,9101,2023-08-01,4-Wheelers,2024,1.96,178
Uttar Pradesh,Q2,29829,2023-08-01,4-Wheelers,2024,1.62,482
Odisha,Q2,5745,2023-07-01,4-Wheelers,2024,2.33,134
Punjab,Q2,12368,2023-09-01,4-Wheelers,2024,0.67,83
Bihar,Q2,5189,2023-07-01,4-Wheelers,2024,1.12,58
DNH and DD,Q2,468,2023-09-01,4-Wheelers,2024,1.28,6
Himachal Pradesh,Q2,3956,2023-07-01,4-Wheelers,2024,0.3,12
Uttar Pradesh,Q2,29087,2023-09-01,4-Wheelers,2024,1.64,476
Andhra Pradesh,Q2,7397,2023-08-01,4-Wheelers,2024,1.41,104
Karnataka,Q2,24184,2023-09-01,4-Wheelers,2024,3.9,942
Jammu and Kashmir,Q2,4430,2023-09-01,4-Wheelers,2024,0.2,9
Tamil Nadu,Q2,22461,2023-09-01,4-Wheelers,2024,2.42,543
Delhi,Q2,15852,2023-08-01,4-Wheelers,2024,2.78,440
Manipur,Q2,458,2023-08-01,4-Wheelers,2024,1.31,6
Chandigarh,Q2,1491,2023-09-01,4-Wheelers,2024,3.62,54
Assam,Q2,8078,2023-09-01,4-Wheelers,2024,0.28,23
Madhya Pradesh,Q2,11748,2023-09-01,4-Wheelers,2024,1.0,117
Assam,Q2,7557,2023-08-01,4-Wheelers,2024,0.36,27
Uttarakhand,Q2,4283,2023-08-01,4-Wheelers,2024,1.17,50
Andaman & Nicobar Island,Q2,183,2023-08-01,4-Wheelers,2024,1.64,3
Puducherry,Q2,912,2023-09-01,4-Wheelers,2024,1.1,10
Punjab,Q2,10766,2023-07-01,4-Wheelers,2024,0.85,92
DNH and DD,Q2,391,2023-07-01,4-Wheelers,2024,1.02,4
Tamil Nadu,Q2,20553,2023-07-01,4-Wheelers,2024,3.07,630
Karnataka,Q2,28235,2023-08-01,4-Wheelers,2024,4.24,1196
Meghalaya,Q2,1139,2023-09-01,4-Wheelers,2024,0.26,3
Andhra Pradesh,Q2,6820,2023-07-01,4-Wheelers,2024,2.3,157
Odisha,Q2,6354,2023-09-01,4-Wheelers,2024,1.59,101
Chhattisgarh,Q2,3346,2023-07-01,4-Wheelers,2024,2.81,94
Odisha,Q2,6282,2023-08-01,4-Wheelers,2024,2.32,146
Goa,Q2,2801,2023-09-01,4-Wheelers,2024,2.46,69
Maharashtra,Q2,40169,2023-08-01,4-Wheelers,2024,2.66,1070
Andhra Pradesh,Q2,7044,2023-09-01,4-Wheelers,2024,0.84,59
Goa,Q2,2177,2023-08-01,4-Wheelers,2024,4.5,98
Andaman & Nicobar Island,Q2,163,2023-07-01,4-Wheelers,2024,1.84,3
Bihar,Q2,5334,2023-08-01,4-Wheelers,2024,0.99,53
Tripura,Q2,466,2023-08-01,4-Wheelers,2024,0.43,2
Tripura,Q2,578,2023-07-01,4-Wheelers,2024,0.35,2
Puducherry,Q2,955,2023-08-01,4-Wheelers,2024,1.47,14
Rajasthan,Q2,16356,2023-09-01,4-Wheelers,2024,2.29,375
Madhya Pradesh,Q2,10811,2023-07-01,4-Wheelers,2024,1.28,138
Chandigarh,Q2,2326,2023-07-01,4-Wheelers,2024,3.05,71
Chhattisgarh,Q2,3993,2023-09-01,4-Wheelers,2024,2.08,83
Puducherry,Q2,809,2023-07-01,4-Wheelers,2024,0.87,7
Gujarat,Q2,36818,2023-09-01,4-Wheelers,2024,1.72,633
Manipur,Q2,427,2023-07-01,4-Wheelers,2024,1.41,6
Rajasthan,Q2,14786,2023-08-01,4-Wheelers,2024,2.68,396
Tripura,Q2,470,2023-09-01,4-Wheelers,2024,0.64,3
Kerala,Q2,14002,2023-07-01,4-Wheelers,2024,6.22,871
Punjab,Q2,11493,2023-08-01,4-Wheelers,2024,0.65,75
Haryana,Q2,24045,2023-09-01,4-Wheelers,2024,0.38,92
Karnataka,Q2,95036,2023-07-01,2-Wheelers,2024,10.14,9632
Andhra Pradesh,Q2,50877,2023-07-01,2-Wheelers,2024,2.68,1361
Kerala,Q2,34948,2023-07-01,2-Wheelers,2024,11.27,3937
Uttar Pradesh,Q2,143067,2023-09-01,2-Wheelers,2024,2.2,3141
Assam,Q2,31641,2023-08-01,2-Wheelers,2024,0.46,147
Rajasthan,Q2,76171,2023-08-01,2-Wheelers,2024,5.66,4313
Odisha,Q2,45630,2023-09-01,2-Wheelers,2024,6.68,3049
Andhra Pradesh,Q2,53014,2023-09-01,2-Wheelers,2024,2.62,1388
Madhya Pradesh,Q2,73963,2023-08-01,2-Wheelers,2024,5.28,3907
Tamil Nadu,Q2,128997,2023-08-01,2-Wheelers,2024,4.84,6246
Punjab,Q2,35832,2023-09-01,2-Wheelers,2024,1.89,676
Uttarakhand,Q2,12642,2023-09-01,2-Wheelers,2024,2.07,262
Chandigarh,Q2,1813,2023-07-01,2-Wheelers,2024,7.39,134
Goa,Q2,2877,2023-07-01,2-Wheelers,2024,17.97,517
Meghalaya,Q2,1991,2023-09-01,2-Wheelers,2024,0.55,11
Puducherry,Q2,3350,2023-09-01,2-Wheelers,2024,4.06,136
Jammu and Kashmir,Q2,8604,2023-07-01,2-Wheelers,2024,1.35,116
Meghalaya,Q2,2030,2023-07-01,2-Wheelers,2024,0.99,20
Mizoram,Q2,1721,2023-07-01,2-Wheelers,2024,0.35,6
Uttar Pradesh,Q2,146984,2023-08-01,2-Wheelers,2024,1.84,2710
Kerala,Q2,48967,2023-09-01,2-Wheelers,2024,9.11,4461
Odisha,Q2,36033,2023-08-01,2-Wheelers,2024,7.6,2737
Himachal Pradesh,Q2,5403,2023-09-01,2-Wheelers,2024,1.26,68
West Bengal,Q2,67367,2023-07-01,2-Wheelers,2024,0.76,509
Kerala,Q2,49548,2023-08-01,2-Wheelers,2024,9.68,4798
Mizoram,Q2,1561,2023-09-01,2-Wheelers,2024,0.38,6
Andhra Pradesh,Q2,56399,2023-08-01,2-Wheelers,2024,2.78,1568
Delhi,Q2,31468,2023-09-01,2-Wheelers,2024,6.36,2002
Tamil Nadu,Q2,119322,2023-07-01,2-Wheelers,2024,4.89,5839
Chhattisgarh,Q2,30725,2023-09-01,2-Wheelers,2024,7.09,2178
Gujarat,Q2,98394,2023-07-01,2-Wheelers,2024,5.39,5300
Punjab,Q2,34784,2023-08-01,2-Wheelers,2024,1.85,642
Uttarakhand,Q2,13216,2023-07-01,2-Wheelers,2024,3.09,408
Bihar,Q2,65102,2023-09-01,2-Wheelers,2024,1.38,900
Manipur,Q2,846,2023-08-01,2-Wheelers,2024,0.95,8
Meghalaya,Q2,2060,2023-08-01,2-Wheelers,2024,0.73,15
Jammu and Kashmir,Q2,8372,2023-09-01,2-Wheelers,2024,1.35,113
Uttarakhand,Q2,12790,2023-08-01,2-Wheelers,2024,2.85,364
Madhya Pradesh,Q2,74064,2023-09-01,2-Wheelers,2024,4.43,3283
Tamil Nadu,Q2,116071,2023-09-01,2-Wheelers,2024,4.46,5178
DNH and DD,Q2,606,2023-08-01,2-Wheelers,2024,0.99,6
Gujarat,Q2,87134,2023-08-01,2-Wheelers,2024,6.6,5755
Jammu and Kashmir,Q2,8650,2023-08-01,2-Wheelers,2024,1.13,98
Chhattisgarh,Q2,28753,2023-07-01,2-Wheelers,2024,5.51,1584
Assam,Q2,32936,2023-09-01,2-Wheelers,2024,0.78,257
Manipur,Q2,1145,2023-07-01,2-Wheelers,2024,0.52,6
Rajasthan,Q2,76511,2023-07-01,2-Wheelers,2024,4.92,3763
Assam,Q2,32074,2023-07-01,2-Wheelers,2024,0.52,168
Gujarat,Q2,129851,2023-09-01,2-Wheelers,2024,5.55,7209
Nagaland,Q2,531,2023-09-01,2-Wheelers,2024,0.19,1
Himachal Pradesh,Q2,5345,2023-08-01,2-Wheelers,2024,1.2,64
Himachal Pradesh,Q2,5450,2023-07-01,2-Wheelers,2024,0.73,40
Mizoram,Q2,1908,2023-08-01,2-Wheelers,2024,0.21,4
Haryana,Q2,44459,2023-09-01,2-Wheelers,2024,0.72,321
Tripura,Q2,3157,2023-09-01,2-Wheelers,2024,0.54,17
Punjab,Q2,33588,2023-07-01,2-Wheelers,2024,1.32,445
Tripura,Q2,3154,2023-08-01,2-Wheelers,2024,1.05,33
Karnataka,Q2,106981,2023-09-01,2-Wheelers,2024,9.9,10590
Tripura,Q2,2942,2023-07-01,2-Wheelers,2024,0.2,6
Madhya Pradesh,Q2,69937,2023-07-01,2-Wheelers,2024,2.82,1971
DNH and DD,Q2,732,2023-09-01,2-Wheelers,2024,1.64,12
Maharashtra,Q2,126943,2023-07-01,2-Wheelers,2024,7.74,9822
Chhattisgarh,Q2,28699,2023-08-01,2-Wheelers,2024,7.28,2088
Goa,Q2,4098,2023-08-01,2-Wheelers,2024,16.81,689
West Bengal,Q2,64154,2023-08-01,2-Wheelers,2024,0.8,511
Bihar,Q2,58346,2023-08-01,2-Wheelers,2024,1.22,713
Nagaland,Q2,599,2023-07-01,2-Wheelers,2024,0.17,1
Haryana,Q2,38102,2023-08-01,2-Wheelers,2024,1.05,399
Haryana,Q2,15523,2023-07-01,2-Wheelers,2024,0.98,152
West Bengal,Q2,58361,2023-09-01,2-Wheelers,2024,0.84,489
Chandigarh,Q2,1789,2023-08-01,2-Wheelers,2024,6.99,125
Rajasthan,Q2,81056,2023-09-01,2-Wheelers,2024,5.35,4336
Jharkhand,Q2,31209,2023-09-01,2-Wheelers,2024,1.68,524
Delhi,Q2,31269,2023-07-01,2-Wheelers,2024,6.61,2068
Puducherry,Q2,4141,2023-08-01,2-Wheelers,2024,4.76,197
Maharashtra,Q2,134556,2023-09-01,2-Wheelers,2024,9.25,12444
Karnataka,Q2,101545,2023-08-01,2-Wheelers,2024,9.57,9720
Puducherry,Q2,3909,2023-07-01,2-Wheelers,2024,4.83,189
DNH and DD,Q2,856,2023-07-01,2-Wheelers,2024,0.58,5
Jharkhand,Q2,27909,2023-08-01,2-Wheelers,2024,1.63,455
Chandigarh,Q2,1868,2023-09-01,2-Wheelers,2024,7.17,134
Bihar,Q2,69583,2023-07-01,2-Wheelers,2024,0.88,614
Ladakh,Q2,117,2023-07-01,2-Wheelers,2024,0.85,1
