state,quarter,total_vehicles,date,vehicle_category,fiscal_year,ev_penetration_rate,total_ev_sold
Tamil Nadu,Q1,7793,2021-06-01,4-Wheelers,2022,0.54,42
Andhra Pradesh,Q4,6361,2022-02-01,4-Wheelers,2022,0.68,43
Karnataka,Q1,8030,2021-06-01,4-Wheelers,2022,0.88,71
Delhi,Q2,9181,2021-09-01,4-Wheelers,2022,2.89,265
Tamil Nadu,Q4,20494,2022-01-01,4-Wheelers,2022,0.59,121
West Bengal,Q4,7968,2022-01-01,4-Wheelers,2022,0.68,54
Goa,Q1,1442,2021-04-01,4-Wheelers,2022,0.55,8
Goa,Q1,749,2021-06-01,4-Wheelers,2022,1.87,14
Maharashtra,Q1,24817,2021-06-01,4-Wheelers,2022,0.77,190
Chandigarh,Q2,1845,2021-08-01,4-Wheelers,2022,0.49,9
Uttarakhand,Q4,3820,2022-02-01,4-Wheelers,2022,0.63,24
Goa,Q3,1293,2021-11-01,4-Wheelers,2022,1.55,20
Karnataka,Q3,16243,2021-12-01,4-Wheelers,2022,0.94,153
Gujarat,Q3,23184,2021-10-01,4-Wheelers,2022,0.45,104
Tamil Nadu,Q3,17001,2021-12-01,4-Wheelers,2022,0.71,121
Haryana,Q4,18621,2022-03-01,4-Wheelers,2022,0.07,13
Chandigarh,Q2,1916,2021-07-01,4-Wheelers,2022,0.47,9
Chhattisgarh,Q2,4350,2021-08-01,4-Wheelers,2022,0.25,11
Kerala,Q2,22813,2021-08-01,4-Wheelers,2022,0.8,183
Kerala,Q2,18406,2021-07-01,4-Wheelers,2022,0.76,139
Uttarakhand,Q1,2728,2021-04-01,4-Wheelers,2022,0.37,10
Uttar Pradesh,Q3,33774,2021-12-01,4-Wheelers,2022,0.06,21
Chhattisgarh,Q4,3922,2022-02-01,4-Wheelers,2022,0.51,20
Maharashtra,Q4,31805,2022-02-01,4-Wheelers,2022,2.85,905
Chandigarh,Q4,1941,2022-02-01,4-Wheelers,2022,0.57,11
Maharashtra,Q2,27900,2021-09-01,4-Wheelers,2022,0.53,148
Andhra Pradesh,Q2,8245,2021-08-01,4-Wheelers,2022,0.95,78
Delhi,Q2,13177,2021-08-01,4-Wheelers,2022,1.19,157
Madhya Pradesh,Q2,11756,2021-09-01,4-Wheelers,2022,0.2,23
Gujarat,Q3,24277,2021-12-01,4-Wheelers,2022,0.67,163
Andhra Pradesh,Q1,5831,2021-05-01,4-Wheelers,2022,0.27,16
Goa,Q3,1306,2021-12-01,4-Wheelers,2022,1.45,19
Rajasthan,Q4,13658,2022-01-01,4-Wheelers,2022,0.67,92
Madhya Pradesh,Q4,11616,2022-03-01,4-Wheelers,2022,0.3,35
Odisha,Q4,5023,2022-02-01,4-Wheelers,2022,0.54,27
West Bengal,Q1,7640,2021-04-01,4-Wheelers,2022,0.31,24
Kerala,Q3,16994,2021-12-01,4-Wheelers,2022,1.09,186
Kerala,Q2,22063,2021-09-01,4-Wheelers,2022,0.74,164
Haryana,Q4,16353,2022-02-01,4-Wheelers,2022,0.17,28
Delhi,Q4,13385,2022-03-01,4-Wheelers,2022,1.64,220
Rajasthan,Q1,10647,2021-04-01,4-Wheelers,2022,0.21,22
Gujarat,Q2,20394,2021-08-01,4-Wheelers,2022,0.41,83
Delhi,Q3,11782,2021-11-01,4-Wheelers,2022,1.57,185
Delhi,Q3,12633,2021-12-01,4-Wheelers,2022,2.19,277
Kerala,Q1,23660,2021-04-01,4-Wheelers,2022,0.56,132
Madhya Pradesh,Q1,12092,2021-06-01,4-Wheelers,2022,0.11,13
Andhra Pradesh,Q2,7952,2021-09-01,4-Wheelers,2022,0.49,39
Kerala,Q4,16628,2022-03-01,4-Wheelers,2022,1.99,331
Uttarakhand,Q3,3523,2021-10-01,4-Wheelers,2022,0.37,13
Uttarakhand,Q3,4270,2021-12-01,4-Wheelers,2022,0.89,38
Uttar Pradesh,Q3,23095,2021-10-01,4-Wheelers,2022,0.04,10
West Bengal,Q3,8836,2021-11-01,4-Wheelers,2022,0.67,59
Uttar Pradesh,Q4,28479,2022-02-01,4-Wheelers,2022,0.08,22
Rajasthan,Q4,13751,2022-03-01,4-Wheelers,2022,0.65,89
West Bengal,Q4,7395,2022-02-01,4-Wheelers,2022,0.61,45
Andaman & Nicobar Island,Q1,168,2021-04-01,4-Wheelers,2022,5.36,9
Karnataka,Q1,16864,2021-04-01,4-Wheelers,2022,0.53,90
Delhi,Q4,12608,2022-02-01,4-Wheelers,2022,2.36,298
Goa,Q3,1165,2021-10-01,4-Wheelers,2022,2.4,28
Delhi,Q2,15033,2021-07-01,4-Wheelers,2022,0.87,131
Uttarakhand,Q2,3171,2021-09-01,4-Wheelers,2022,0.32,10
Haryana,Q3,16015,2021-12-01,4-Wheelers,2022,0.07,11
Karnataka,Q4,17561,2022-02-01,4-Wheelers,2022,1.15,202
Gujarat,Q2,23792,2021-07-01,4-Wheelers,2022,0.22,53
West Bengal,Q2,9198,2021-08-01,4-Wheelers,2022,0.3,28
Gujarat,Q4,26077,2022-03-01,4-Wheelers,2022,0.95,249
Karnataka,Q2,21640,2021-07-01,4-Wheelers,2022,0.91,196
Madhya Pradesh,Q4,11274,2022-02-01,4-Wheelers,2022,0.2,22
Haryana,Q3,11634,2021-10-01,4-Wheelers,2022,0.07,8
Kerala,Q1,5164,2021-05-01,4-Wheelers,2022,0.93,48
West Bengal,Q2,9437,2021-09-01,4-Wheelers,2022,0.36,34
Maharashtra,Q4,39762,2022-03-01,4-Wheelers,2022,5.18,2060
West Bengal,Q4,8539,2022-03-01,4-Wheelers,2022,0.48,41
Jharkhand,Q3,5320,2021-11-01,4-Wheelers,2022,0.15,8
Andhra Pradesh,Q1,6098,2021-06-01,4-Wheelers,2022,0.64,39
Tamil Nadu,Q3,14796,2021-10-01,4-Wheelers,2022,0.8,119
Gujarat,Q4,21963,2022-01-01,4-Wheelers,2022,0.44,97
Madhya Pradesh,Q2,14581,2021-07-01,4-Wheelers,2022,0.12,17
Madhya Pradesh,Q3,12871,2021-11-01,4-Wheelers,2022,0.24,31
Haryana,Q2,14524,2021-07-01,4-Wheelers,2022,0.04,6
Tamil Nadu,Q4,16711,2022-02-01,4-Wheelers,2022,0.81,135
Maharashtra,Q3,33771,2021-10-01,4-Wheelers,2022,0.88,298
Chandigarh,Q2,1607,2021-09-01,4-Wheelers,2022,1.24,20
Odisha,Q3,4634,2021-12-01,4-Wheelers,2022,0.43,20
Maharashtra,Q2,38063,2021-07-01,4-Wheelers,2022,0.75,286
Rajasthan,Q2,14374,2021-07-01,4-Wheelers,2022,0.36,52
Delhi,Q4,13659,2022-01-01,4-Wheelers,2022,2.06,282
Haryana,Q4,17633,2022-01-01,4-Wheelers,2022,0.15,26
Tamil Nadu,Q1,18826,2021-04-01,4-Wheelers,2022,0.4,75
Gujarat,Q1,15959,2021-05-01,4-Wheelers,2022,0.18,29
Chandigarh,Q3,1919,2021-11-01,4-Wheelers,2022,0.83,16
Haryana,Q3,16035,2021-11-01,4-Wheelers,2022,0.08,13
Kerala,Q1,10018,2021-06-01,4-Wheelers,2022,1.4,140
Andhra Pradesh,Q4,7288,2022-03-01,4-Wheelers,2022,0.75,55
Gujarat,Q4,24012,2022-02-01,4-Wheelers,2022,0.53,128
Maharashtra,Q4,35772,2022-01-01,4-Wheelers,2022,0.74,263
Madhya Pradesh,Q3,9554,2021-10-01,4-Wheelers,2022,0.21,20
Andhra Pradesh,Q4,8418,2022-01-01,4-Wheelers,2022,0.34,29
Odisha,Q4,5876,2022-01-01,4-Wheelers,2022,0.46,27
Chandigarh,Q4,2279,2022-03-01,4-Wheelers,2022,0.61,14
West Bengal,Q2,8919,2021-07-01,4-Wheelers,2022,0.41,37
Rajasthan,Q3,16115,2021-11-01,4-Wheelers,2022,0.49,79
Kerala,Q4,17441,2022-01-01,4-Wheelers,2022,1.22,212
Uttar Pradesh,Q3,29608,2021-11-01,4-Wheelers,2022,0.03,10
Delhi,Q3,12876,2021-10-01,4-Wheelers,2022,1.96,253
Karnataka,Q4,21967,2022-01-01,4-Wheelers,2022,0.95,209
Gujarat,Q1,19359,2021-06-01,4-Wheelers,2022,0.32,61
Karnataka,Q2,21975,2021-08-01,4-Wheelers,2022,0.62,137
Tamil Nadu,Q3,15533,2021-11-01,4-Wheelers,2022,0.7,108
Rajasthan,Q3,12823,2021-10-01,4-Wheelers,2022,0.67,86
Andhra Pradesh,Q2,7877,2021-07-01,4-Wheelers,2022,0.46,36
Tamil Nadu,Q2,18823,2021-09-01,4-Wheelers,2022,0.57,107
Delhi,Q1,8076,2021-04-01,4-Wheelers,2022,0.76,61
Rajasthan,Q2,11454,2021-08-01,4-Wheelers,2022,0.46,53
Karnataka,Q3,18505,2021-10-01,4-Wheelers,2022,0.88,163
Uttarakhand,Q4,4241,2022-01-01,4-Wheelers,2022,0.71,30
Uttarakhand,Q2,4182,2021-07-01,4-Wheelers,2022,0.26,11
Andhra Pradesh,Q3,7374,2021-11-01,4-Wheelers,2022,0.46,34
Goa,Q4,1185,2022-01-01,4-Wheelers,2022,2.19,26
West Bengal,Q1,3962,2021-05-01,4-Wheelers,2022,0.15,6
Punjab,Q3,10624,2021-12-01,4-Wheelers,2022,0.06,6
West Bengal,Q3,8452,2021-12-01,4-Wheelers,2022,0.46,39
Tamil Nadu,Q2,20857,2021-07-01,4-Wheelers,2022,0.42,88
Uttar Pradesh,Q4,32561,2022-01-01,4-Wheelers,2022,0.04,14
Goa,Q2,1439,2021-08-01,4-Wheelers,2022,1.32,19
Maharashtra,Q2,35127,2021-08-01,4-Wheelers,2022,0.56,197
Andhra Pradesh,Q3,7366,2021-10-01,4-Wheelers,2022,0.5,37
Gujarat,Q1,17386,2021-04-01,4-Wheelers,2022,0.25,44
Maharashtra,Q1,16829,2021-04-01,4-Wheelers,2022,0.57,96
Bihar,Q4,5538,2022-01-01,4-Wheelers,2022,0.18,10
Kerala,Q3,14562,2021-10-01,4-Wheelers,2022,1.09,158
Tamil Nadu,Q1,3413,2021-05-01,4-Wheelers,2022,0.41,14
Uttarakhand,Q4,4026,2022-03-01,4-Wheelers,2022,0.5,20
Gujarat,Q3,22396,2021-11-01,4-Wheelers,2022,0.54,121
Uttar Pradesh,Q4,29324,2022-03-01,4-Wheelers,2022,0.06,18
Odisha,Q4,6098,2022-03-01,4-Wheelers,2022,0.51,31
Tamil Nadu,Q4,20604,2022-03-01,4-Wheelers,2022,0.82,168
Chandigarh,Q3,1816,2021-10-01,4-Wheelers,2022,0.66,12
Chhattisgarh,Q2,4916,2021-07-01,4-Wheelers,2022,0.24,12
Chandigarh,Q3,1985,2021-12-01,4-Wheelers,2022,0.6,12
Chandigarh,Q1,2050,2021-06-01,4-Wheelers,2022,0.59,12
Chhattisgarh,Q2,3650,2021-09-01,4-Wheelers,2022,0.33,12
Jharkhand,Q2,3892,2021-09-01,4-Wheelers,2022,0.31,12
Uttarakhand,Q3,3954,2021-11-01,4-Wheelers,2022,0.3,12
Bihar,Q4,6694,2022-03-01,4-Wheelers,2022,0.18,12
Rajasthan,Q1,2756,2021-05-01,4-Wheelers,2022,0.25,7
Uttarakhand,Q1,2972,2021-06-01,4-Wheelers,2022,0.24,7
Haryana,Q2,14879,2021-09-01,4-Wheelers,2022,0.05,7
Jammu and Kashmir,Q4,4679,2022-02-01,4-Wheelers,2022,0.15,7
Chandigarh,Q4,1519,2022-01-01,4-Wheelers,2022,0.46,7
Punjab,Q4,9792,2022-01-01,4-Wheelers,2022,0.07,7
Bihar,Q3,5031,2021-12-01,4-Wheelers,2022,0.14,7
Bihar,Q3,5838,2021-10-01,4-Wheelers,2022,0.12,7
Bihar,Q2,5724,2021-08-01,4-Wheelers,2022,0.12,7
Chhattisgarh,Q3,3651,2021-12-01,4-Wheelers,2022,0.14,5
Punjab,Q4,9464,2022-02-01,4-Wheelers,2022,0.05,5
Jharkhand,Q3,4806,2021-10-01,4-Wheelers,2022,0.1,5
Odisha,Q1,5101,2021-04-01,4-Wheelers,2022,0.1,5
Jharkhand,Q4,4345,2022-01-01,4-Wheelers,2022,0.12,5
Chhattisgarh,Q1,4526,2021-06-01,4-Wheelers,2022,0.11,5
Punjab,Q3,8523,2021-10-01,4-Wheelers,2022,0.06,5
Bihar,Q2,5438,2021-07-01,4-Wheelers,2022,0.09,5
Himachal Pradesh,Q4,3616,2022-02-01,4-Wheelers,2022,0.14,5
Jharkhand,Q4,5062,2022-03-01,4-Wheelers,2022,0.1,5
Assam,Q4,7281,2022-03-01,4-Wheelers,2022,0.03,2
Andaman & Nicobar Island,Q4,108,2022-03-01,4-Wheelers,2022,1.85,2
Odisha,Q2,4865,2021-09-01,4-Wheelers,2022,0.04,2
Jammu and Kashmir,Q3,4205,2021-10-01,4-Wheelers,2022,0.05,2
Assam,Q2,6447,2021-08-01,4-Wheelers,2022,0.03,2
Puducherry,Q2,640,2021-09-01,4-Wheelers,2022,0.31,2
Odisha,Q1,3041,2021-06-01,4-Wheelers,2022,0.07,2
Himachal Pradesh,Q2,3811,2021-07-01,4-Wheelers,2022,0.05,2
Madhya Pradesh,Q1,5356,2021-04-01,4-Wheelers,2022,0.04,2
Chandigarh,Q1,1426,2021-04-01,4-Wheelers,2022,0.14,2
Karnataka,Q1,646,2021-05-01,4-Wheelers,2022,0.31,2
Puducherry,Q3,608,2021-12-01,4-Wheelers,2022,0.33,2
Odisha,Q3,5830,2021-10-01,4-Wheelers,2022,0.03,2
Puducherry,Q1,119,2021-05-01,4-Wheelers,2022,1.68,2
Bihar,Q1,5731,2021-04-01,4-Wheelers,2022,0.07,4
Goa,Q1,393,2021-05-01,4-Wheelers,2022,1.02,4
Odisha,Q2,5453,2021-08-01,4-Wheelers,2022,0.07,4
Punjab,Q4,10836,2022-03-01,4-Wheelers,2022,0.04,4
Haryana,Q1,13420,2021-06-01,4-Wheelers,2022,0.03,4
Uttar Pradesh,Q1,23056,2021-04-01,4-Wheelers,2022,0.02,4
Jharkhand,Q4,4335,2022-02-01,4-Wheelers,2022,0.09,4
Jammu and Kashmir,Q4,4854,2022-03-01,4-Wheelers,2022,0.08,4
Uttar Pradesh,Q2,23510,2021-09-01,4-Wheelers,2022,0.02,4
Jharkhand,Q1,4405,2021-06-01,4-Wheelers,2022,0.09,4
Punjab,Q1,8955,2021-04-01,4-Wheelers,2022,0.04,4
Bihar,Q1,5692,2021-06-01,4-Wheelers,2022,0.07,4
Jharkhand,Q2,5020,2021-07-01,4-Wheelers,2022,0.08,4
Punjab,Q2,9209,2021-08-01,4-Wheelers,2022,0.04,4
Bihar,Q2,4339,2021-09-01,4-Wheelers,2022,0.09,4
Punjab,Q3,9015,2021-11-01,4-Wheelers,2022,0.03,3
Puducherry,Q4,817,2022-03-01,4-Wheelers,2022,0.37,3
Jharkhand,Q1,3425,2021-04-01,4-Wheelers,2022,0.09,3
Punjab,Q2,9328,2021-07-01,4-Wheelers,2022,0.03,3
Jharkhand,Q2,5113,2021-08-01,4-Wheelers,2022,0.06,3
Odisha,Q2,5552,2021-07-01,4-Wheelers,2022,0.05,3
Assam,Q4,6152,2022-02-01,4-Wheelers,2022,0.05,3
Punjab,Q1,7126,2021-06-01,4-Wheelers,2022,0.04,3
Haryana,Q1,15476,2021-04-01,4-Wheelers,2022,0.02,3
Himachal Pradesh,Q4,3371,2022-03-01,4-Wheelers,2022,0.09,3
Uttar Pradesh,Q1,25704,2021-06-01,4-Wheelers,2022,0.01,3
Punjab,Q2,7521,2021-09-01,4-Wheelers,2022,0.04,3
Uttar Pradesh,Q1,14016,2021-05-01,4-Wheelers,2022,0.02,3
Uttar Pradesh,Q2,24012,2021-08-01,4-Wheelers,2022,0.01,3
Assam,Q3,6737,2021-12-01,4-Wheelers,2022,0.04,3
Haryana,Q2,16027,2021-08-01,4-Wheelers,2022,0.02,3
Jharkhand,Q3,4258,2021-12-01,4-Wheelers,2022,0.07,3
Himachal Pradesh,Q4,3090,2022-01-01,4-Wheelers,2022,0.1,3
Chhattisgarh,Q1,5280,2021-05-01,2-Wheelers,2022,0.11,6
Manipur,Q3,2098,2021-10-01,2-Wheelers,2022,0.29,6
West Bengal,Q1,28906,2021-05-01,2-Wheelers,2022,0.02,6
Ladakh,Q3,18,2021-10-01,2-Wheelers,2022,33.33,6
Assam,Q1,22586,2021-06-01,2-Wheelers,2022,0.03,6
Uttarakhand,Q1,2957,2021-05-01,2-Wheelers,2022,0.2,6
DNH and DD,Q4,758,2022-01-01,2-Wheelers,2022,0.79,6
Ladakh,Q4,20,2022-01-01,2-Wheelers,2022,30.0,6
Chandigarh,Q1,1200,2021-04-01,2-Wheelers,2022,0.5,6
Odisha,Q4,45749,2022-01-01,2-Wheelers,2022,2.91,1333
Chandigarh,Q3,2083,2021-11-01,2-Wheelers,2022,3.79,79
Chhattisgarh,Q3,24772,2021-12-01,2-Wheelers,2022,2.02,500
Jammu and Kashmir,Q3,4076,2021-12-01,2-Wheelers,2022,2.7,110
Haryana,Q1,7315,2021-05-01,2-Wheelers,2022,0.23,17
West Bengal,Q2,76665,2021-07-01,2-Wheelers,2022,0.05,36
Chhattisgarh,Q1,31808,2021-06-01,2-Wheelers,2022,0.43,138
Tamil Nadu,Q3,83485,2021-12-01,2-Wheelers,2022,3.88,3236
Uttar Pradesh,Q2,146734,2021-08-01,2-Wheelers,2022,0.36,531
Kerala,Q4,41273,2022-02-01,2-Wheelers,2022,4.21,1737
Haryana,Q1,31078,2021-04-01,2-Wheelers,2022,0.32,101
Assam,Q2,25097,2021-08-01,2-Wheelers,2022,0.1,26
Chhattisgarh,Q2,27491,2021-08-01,2-Wheelers,2022,0.87,238
Goa,Q3,3468,2021-12-01,2-Wheelers,2022,4.41,153
Puducherry,Q3,2589,2021-12-01,2-Wheelers,2022,3.13,81
Uttarakhand,Q3,12826,2021-10-01,2-Wheelers,2022,1.01,129
Bihar,Q2,54618,2021-08-01,2-Wheelers,2022,0.35,191
Chhattisgarh,Q3,63099,2021-11-01,2-Wheelers,2022,0.81,509
Uttar Pradesh,Q1,264409,2021-06-01,2-Wheelers,2022,0.03,92
Assam,Q3,28392,2021-12-01,2-Wheelers,2022,0.33,93
Jammu and Kashmir,Q4,4836,2022-02-01,2-Wheelers,2022,2.09,101
Kerala,Q2,48245,2021-09-01,2-Wheelers,2022,1.64,789
Uttarakhand,Q3,20977,2021-11-01,2-Wheelers,2022,1.25,262
Gujarat,Q4,58107,2022-01-01,2-Wheelers,2022,3.77,2191
Jharkhand,Q4,24613,2022-01-01,2-Wheelers,2022,0.98,240
Jharkhand,Q2,26589,2021-08-01,2-Wheelers,2022,0.52,137
Uttarakhand,Q2,11192,2021-08-01,2-Wheelers,2022,1.02,114
Tamil Nadu,Q4,124399,2022-01-01,2-Wheelers,2022,3.4,4233
Uttarakhand,Q4,10413,2022-01-01,2-Wheelers,2022,1.77,184
Madhya Pradesh,Q4,69322,2022-02-01,2-Wheelers,2022,1.41,974
Goa,Q3,3914,2021-10-01,2-Wheelers,2022,4.16,163
Uttar Pradesh,Q4,168934,2022-01-01,2-Wheelers,2022,0.78,1322
Haryana,Q4,25667,2022-02-01,2-Wheelers,2022,2.64,677
West Bengal,Q4,56937,2022-02-01,2-Wheelers,2022,0.67,383
Delhi,Q4,28871,2022-03-01,2-Wheelers,2022,12.09,3491
Karnataka,Q4,91537,2022-03-01,2-Wheelers,2022,7.96,7288
Tamil Nadu,Q2,122808,2021-07-01,2-Wheelers,2022,2.28,2801
Maharashtra,Q4,130070,2022-03-01,2-Wheelers,2022,7.45,9687
Delhi,Q1,14233,2021-04-01,2-Wheelers,2022,1.91,272
Assam,Q2,22521,2021-07-01,2-Wheelers,2022,0.1,22
Puducherry,Q1,314,2021-05-01,2-Wheelers,2022,0.96,3
Gujarat,Q2,71820,2021-09-01,2-Wheelers,2022,1.34,959
Maharashtra,Q2,146083,2021-07-01,2-Wheelers,2022,1.44,2101
Madhya Pradesh,Q3,52075,2021-10-01,2-Wheelers,2022,1.05,545
Maharashtra,Q4,116043,2022-02-01,2-Wheelers,2022,5.92,6871
Rajasthan,Q4,60106,2022-03-01,2-Wheelers,2022,5.12,3080
Bihar,Q3,50679,2021-10-01,2-Wheelers,2022,0.93,470
Himachal Pradesh,Q3,7398,2021-11-01,2-Wheelers,2022,0.82,61
Chhattisgarh,Q2,24790,2021-09-01,2-Wheelers,2022,0.98,244
Andhra Pradesh,Q3,64835,2021-11-01,2-Wheelers,2022,1.72,1114
Jharkhand,Q1,21680,2021-05-01,2-Wheelers,2022,0.18,39
Maharashtra,Q4,136937,2022-01-01,2-Wheelers,2022,3.75,5138
Odisha,Q1,23193,2021-06-01,2-Wheelers,2022,0.63,147
